kabupaten,tahun,produktivitas,komoditas
SUKABUMI,2019,0.0,Jagung
BANDUNG,2019,0.0,Jagung
CIREBON,2019,0.0,Jagung
BEKASI,2019,0.0,Jagung
DEPOK,2019,0.0,Jagung
CIMAHI,2019,0.0,Jagung
TASIKMALAYA,2019,0.0,Jagung
BANJAR,2019,41.12,Jagung
BOGOR,2020,56.32,Jagung
SUKABUMI,2020,66.92,Jagung
CIANJUR,2020,60.7,Jagung
BANDUNG,2020,3.0,Jagung
GARUT,2020,73.39,Jagung
TASIKMALAYA,2020,65.35,Jagung
CIAMIS,2020,70.62,Jagung
KUNINGAN,2020,62.16,Jagung
CIREBON,2020,63.12,Jagung
MAJALENGKA,2020,70.52,Jagung
SUMEDANG,2020,69.86,Jagung
INDRAMAYU,2020,57.18,Jagung
SUBANG,2020,57.23,Jagung
PURWAKARTA,2020,65.05,Jagung
KARAWANG,2020,66.02,Jagung
BEKASI,2020,60.0,Jagung
BANDUNG BARAT,2020,60.49,Jagung
PANGANDARAN,2020,61.07,Jagung
BOGOR,2020,50.0,Jagung
SUKABUMI,2020,65.36,Jagung
BANDUNG,2020,0.0,Jagung
CIREBON,2020,0.0,Jagung
BEKASI,2020,48.75,Jagung
DEPOK,2020,50.0,Jagung
CIMAHI,2020,62.5,Jagung
TASIKMALAYA,2020,47.14,Jagung
BANJAR,2020,33.89,Jagung
BOGOR,2021,72.67,Jagung
SUKABUMI,2021,61.43,Jagung
CIANJUR,2021,64.43,Jagung
BANDUNG,2021,72.73,Jagung
GARUT,2021,84.54,Jagung
TASIKMALAYA,2021,67.46,Jagung
CIAMIS,2021,70.69,Jagung
KUNINGAN,2021,62.46,Jagung
CIREBON,2021,72.42,Jagung
MAJALENGKA,2021,74.55,Jagung
SUMEDANG,2021,91.11,Jagung
INDRAMAYU,2021,62.95,Jagung
SUBANG,2021,68.2,Jagung
PURWAKARTA,2021,71.35,Jagung
KARAWANG,2021,70.39,Jagung
BEKASI,2021,0.0,Jagung
BANDUNG BARAT,2021,65.19,Jagung
PANGANDARAN,2021,55.99,Jagung
BOGOR,2021,0.0,Jagung
SUKABUMI,2021,72.3,Jagung
BANDUNG,2021,0.0,Jagung
CIREBON,2021,0.0,Jagung
BEKASI,2021,70.1,Jagung
DEPOK,2021,70.13,Jagung
CIMAHI,2021,66.73,Jagung
TASIKMALAYA,2021,75.53,Jagung
BANJAR,2021,26.15,Jagung
BOGOR,2022,75.7,Jagung
SUKABUMI,2022,72.06,Jagung
CIANJUR,2022,71.25,Jagung
BANDUNG,2022,64.95,Jagung
GARUT,2022,79.0,Jagung
TASIKMALAYA,2022,68.17,Jagung
CIAMIS,2022,64.03,Jagung
KUNINGAN,2022,71.88,Jagung
CIREBON,2022,74.35,Jagung
MAJALENGKA,2022,85.58,Jagung
SUMEDANG,2022,86.9,Jagung
INDRAMAYU,2022,65.97,Jagung
SUBANG,2022,89.49,Jagung
PURWAKARTA,2022,75.7,Jagung
KARAWANG,2022,75.7,Jagung
BEKASI,2022,75.7,Jagung
BANDUNG BARAT,2022,75.04,Jagung
PANGANDARAN,2022,75.7,Jagung
BOGOR,2022,75.7,Jagung
SUKABUMI,2022,75.7,Jagung
BANDUNG,2022,75.7,Jagung
CIREBON,2022,75.7,Jagung
BEKASI,2022,75.7,Jagung
DEPOK,2022,75.7,Jagung
CIMAHI,2022,75.7,Jagung
TASIKMALAYA,2022,75.7,Jagung
BANJAR,2022,26.62,Jagung
BOGOR,2015,249.14,Ubi Kayu
SUKABUMI,2015,311.83,Ubi Kayu
CIANJUR,2015,239.3,Ubi Kayu
BANDUNG,2015,163.03,Ubi Kayu
GARUT,2015,245.53,Ubi Kayu
TASIKMALAYA,2015,234.51,Ubi Kayu
CIAMIS,2015,289.56,Ubi Kayu
KUNINGAN,2015,230.15,Ubi Kayu
CIREBON,2015,208.37,Ubi Kayu
MAJALENGKA,2015,361.56,Ubi Kayu
SUMEDANG,2015,160.29,Ubi Kayu
INDRAMAYU,2015,195.81,Ubi Kayu
SUBANG,2015,196.26,Ubi Kayu
PURWAKARTA,2015,222.58,Ubi Kayu
KARAWANG,2015,323.09,Ubi Kayu
BEKASI,2015,151.14,Ubi Kayu
BANDUNG BARAT,2015,198.62,Ubi Kayu
PANGANDARAN,2015,170.61,Ubi Kayu
BOGOR,2015,135.41,Ubi Kayu
SUKABUMI,2015,272.38,Ubi Kayu
BANDUNG,2015,161.05,Ubi Kayu
CIREBON,2015,117.5,Ubi Kayu
BEKASI,2015,118.1,Ubi Kayu
DEPOK,2015,271.96,Ubi Kayu
CIMAHI,2015,163.49,Ubi Kayu
TASIKMALAYA,2015,257.81,Ubi Kayu
BANJAR,2015,118.5,Ubi Kayu
BOGOR,2016,289.13,Ubi Kayu
SUKABUMI,2016,294.43,Ubi Kayu
CIANJUR,2016,277.16,Ubi Kayu
BANDUNG,2016,208.65,Ubi Kayu
GARUT,2016,247.47,Ubi Kayu
TASIKMALAYA,2016,223.48,Ubi Kayu
CIAMIS,2016,271.32,Ubi Kayu
KUNINGAN,2016,234.71,Ubi Kayu
CIREBON,2016,210.0,Ubi Kayu
MAJALENGKA,2016,216.46,Ubi Kayu
SUMEDANG,2016,186.73,Ubi Kayu
INDRAMAYU,2016,263.45,Ubi Kayu
SUBANG,2016,227.82,Ubi Kayu
PURWAKARTA,2016,264.72,Ubi Kayu
KARAWANG,2016,124.74,Ubi Kayu
BEKASI,2016,145.84,Ubi Kayu
BANDUNG BARAT,2016,266.68,Ubi Kayu
PANGANDARAN,2016,219.14,Ubi Kayu
BOGOR,2016,219.82,Ubi Kayu
SUKABUMI,2016,284.23,Ubi Kayu
BANDUNG,2016,132.34,Ubi Kayu
CIREBON,2016,182.5,Ubi Kayu
BEKASI,2016,116.34,Ubi Kayu
DEPOK,2016,285.53,Ubi Kayu
CIMAHI,2016,187.72,Ubi Kayu
TASIKMALAYA,2016,219.23,Ubi Kayu
BANJAR,2016,146.76,Ubi Kayu
BOGOR,2017,283.24,Ubi Kayu
SUKABUMI,2017,302.64,Ubi Kayu
CIANJUR,2017,183.09,Ubi Kayu
BANDUNG,2017,0.0,Ubi Kayu
GARUT,2017,288.09,Ubi Kayu
TASIKMALAYA,2017,261.11,Ubi Kayu
CIAMIS,2017,168.31,Ubi Kayu
KUNINGAN,2017,278.8,Ubi Kayu
CIREBON,2017,151.72,Ubi Kayu
MAJALENGKA,2017,224.62,Ubi Kayu
SUMEDANG,2017,261.49,Ubi Kayu
INDRAMAYU,2017,197.73,Ubi Kayu
SUBANG,2017,164.79,Ubi Kayu
PURWAKARTA,2017,183.58,Ubi Kayu
KARAWANG,2017,170.11,Ubi Kayu
BEKASI,2017,126.8,Ubi Kayu
BANDUNG BARAT,2017,203.88,Ubi Kayu
PANGANDARAN,2017,128.41,Ubi Kayu
BOGOR,2017,0.0,Ubi Kayu
SUKABUMI,2017,0.0,Ubi Kayu
BANDUNG,2017,0.0,Ubi Kayu
CIREBON,2017,182.5,Ubi Kayu
BEKASI,2017,0.0,Ubi Kayu
DEPOK,2017,0.0,Ubi Kayu
CIMAHI,2017,0.0,Ubi Kayu
TASIKMALAYA,2017,0.0,Ubi Kayu
BANJAR,2017,141.39,Ubi Kayu
BOGOR,2018,276.81,Ubi Kayu
SUKABUMI,2018,264.38,Ubi Kayu
CIANJUR,2018,203.64,Ubi Kayu
BANDUNG,2018,1.0,Ubi Kayu
GARUT,2018,267.31,Ubi Kayu
TASIKMALAYA,2018,293.58,Ubi Kayu
CIAMIS,2018,216.36,Ubi Kayu
KUNINGAN,2018,485.24,Ubi Kayu
CIREBON,2018,144.49,Ubi Kayu
MAJALENGKA,2018,252.74,Ubi Kayu
SUMEDANG,2018,234.64,Ubi Kayu
INDRAMAYU,2018,137.67,Ubi Kayu
SUBANG,2018,171.73,Ubi Kayu
PURWAKARTA,2018,192.44,Ubi Kayu
KARAWANG,2018,127.14,Ubi Kayu
BEKASI,2018,119.6,Ubi Kayu
BANDUNG BARAT,2018,222.08,Ubi Kayu
PANGANDARAN,2018,120.87,Ubi Kayu
BOGOR,2018,0.0,Ubi Kayu
SUKABUMI,2018,0.0,Ubi Kayu
BANDUNG,2018,0.0,Ubi Kayu
CIREBON,2018,181.0,Ubi Kayu
BEKASI,2018,0.0,Ubi Kayu
DEPOK,2018,0.0,Ubi Kayu
CIMAHI,2018,0.0,Ubi Kayu
TASIKMALAYA,2018,0.0,Ubi Kayu
BANJAR,2018,151.71,Ubi Kayu
BOGOR,2019,297.09,Ubi Kayu
SUKABUMI,2019,294.79,Ubi Kayu
CIANJUR,2019,254.35,Ubi Kayu
BANDUNG,2019,246.38,Ubi Kayu
GARUT,2019,291.71,Ubi Kayu
TASIKMALAYA,2019,278.21,Ubi Kayu
CIAMIS,2019,373.91,Ubi Kayu
KUNINGAN,2019,226.38,Ubi Kayu
CIREBON,2019,219.11,Ubi Kayu
MAJALENGKA,2019,328.14,Ubi Kayu
SUMEDANG,2019,337.8,Ubi Kayu
INDRAMAYU,2019,341.25,Ubi Kayu
SUBANG,2019,360.04,Ubi Kayu
PURWAKARTA,2019,293.15,Ubi Kayu
KARAWANG,2019,159.8,Ubi Kayu
BEKASI,2019,117.58,Ubi Kayu
BANDUNG BARAT,2019,376.25,Ubi Kayu
PANGANDARAN,2019,154.67,Ubi Kayu
BOGOR,2019,247.21,Ubi Kayu
SUKABUMI,2019,234.79,Ubi Kayu
BANDUNG,2019,170.83,Ubi Kayu
CIREBON,2019,200.0,Ubi Kayu
BEKASI,2019,99.18,Ubi Kayu
DEPOK,2019,240.61,Ubi Kayu
CIMAHI,2019,201.05,Ubi Kayu
TASIKMALAYA,2019,255.98,Ubi Kayu
BANJAR,2019,223.06,Ubi Kayu
BOGOR,2020,314.17,Ubi Kayu
SUKABUMI,2020,428.53,Ubi Kayu
CIANJUR,2020,277.91,Ubi Kayu
BANDUNG,2020,325.1,Ubi Kayu
GARUT,2020,260.73,Ubi Kayu
TASIKMALAYA,2020,278.31,Ubi Kayu
CIAMIS,2020,462.97,Ubi Kayu
KUNINGAN,2020,289.02,Ubi Kayu
CIREBON,2020,238.58,Ubi Kayu
MAJALENGKA,2020,242.79,Ubi Kayu
SUMEDANG,2020,320.78,Ubi Kayu
INDRAMAYU,2020,364.0,Ubi Kayu
SUBANG,2020,307.47,Ubi Kayu
PURWAKARTA,2020,312.63,Ubi Kayu
KARAWANG,2020,199.38,Ubi Kayu
BEKASI,2020,114.04,Ubi Kayu
BANDUNG BARAT,2020,434.86,Ubi Kayu
PANGANDARAN,2020,340.93,Ubi Kayu
BOGOR,2020,264.66,Ubi Kayu
SUKABUMI,2020,229.52,Ubi Kayu
BANDUNG,2020,180.63,Ubi Kayu
CIREBON,2020,200.0,Ubi Kayu
BEKASI,2020,102.26,Ubi Kayu
DEPOK,2020,250.88,Ubi Kayu
CIMAHI,2020,209.74,Ubi Kayu
TASIKMALAYA,2020,172.66,Ubi Kayu
BANJAR,2020,223.0,Ubi Kayu
BOGOR,2021,358.62,Ubi Kayu
SUKABUMI,2021,442.79,Ubi Kayu
CIANJUR,2021,257.47,Ubi Kayu
BANDUNG,2021,327.66,Ubi Kayu
GARUT,2021,288.04,Ubi Kayu
TASIKMALAYA,2021,261.38,Ubi Kayu
CIAMIS,2021,418.83,Ubi Kayu
KUNINGAN,2021,370.72,Ubi Kayu
CIREBON,2021,277.56,Ubi Kayu
MAJALENGKA,2021,326.63,Ubi Kayu
SUMEDANG,2021,263.33,Ubi Kayu
INDRAMAYU,2021,335.09,Ubi Kayu
SUBANG,2021,534.14,Ubi Kayu
PURWAKARTA,2021,369.48,Ubi Kayu
KARAWANG,2021,320.29,Ubi Kayu
BEKASI,2021,0.0,Ubi Kayu
BANDUNG BARAT,2021,338.06,Ubi Kayu
PANGANDARAN,2021,407.52,Ubi Kayu
BOGOR,2021,297.06,Ubi Kayu
SUKABUMI,2021,303.01,Ubi Kayu
BANDUNG,2021,322.76,Ubi Kayu
CIREBON,2021,335.09,Ubi Kayu
BEKASI,2021,319.89,Ubi Kayu
DEPOK,2021,256.52,Ubi Kayu
CIMAHI,2021,290.77,Ubi Kayu
TASIKMALAYA,2021,309.03,Ubi Kayu
BANJAR,2021,319.06,Ubi Kayu
BOGOR,2022,395.07,Ubi Kayu
SUKABUMI,2022,295.41,Ubi Kayu
CIANJUR,2022,281.68,Ubi Kayu
BANDUNG,2022,296.76,Ubi Kayu
GARUT,2022,276.56,Ubi Kayu
TASIKMALAYA,2022,269.18,Ubi Kayu
CIAMIS,2022,383.75,Ubi Kayu
KUNINGAN,2022,332.48,Ubi Kayu
CIREBON,2022,321.4,Ubi Kayu
MAJALENGKA,2022,320.76,Ubi Kayu
SUMEDANG,2022,316.88,Ubi Kayu
INDRAMAYU,2022,317.72,Ubi Kayu
SUBANG,2022,504.45,Ubi Kayu
PURWAKARTA,2022,337.62,Ubi Kayu
KARAWANG,2022,315.56,Ubi Kayu
BEKASI,2022,323.73,Ubi Kayu
BANDUNG BARAT,2022,375.59,Ubi Kayu
PANGANDARAN,2022,318.18,Ubi Kayu
BOGOR,2022,288.02,Ubi Kayu
SUKABUMI,2022,324.87,Ubi Kayu
BANDUNG,2022,318.46,Ubi Kayu
CIREBON,2022,323.73,Ubi Kayu
BEKASI,2022,322.34,Ubi Kayu
DEPOK,2022,321.05,Ubi Kayu
CIMAHI,2022,298.09,Ubi Kayu
TASIKMALAYA,2022,320.04,Ubi Kayu
BANJAR,2022,302.72,Ubi Kayu
